sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.8188;1.6466;7.1317;-3.2351;2.424;8.9347;-0.0258;-0.3105;-0.5532;-1.6165;1.3105;-0.8381;0.0;17.88;13.8;-41.34;353.13;-14.31;19.9;0.0;998.15;54.698;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;34044;2020-11-11 01:31:47:113
-5.6048;-0.2927;8.3791;-6.0796;-0.2059;7.692;0.4747;-0.0868;0.6871;0.7398;-0.6647;0.7201;0.0;19.8;13.68;-41.1;56.63;7.92;41.04;0.0;997.47;46.445;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;34544;2020-11-11 01:31:47:613
-4.5107;1.2133;7.1293;-5.1458;0.5378;8.3308;0.6351;0.6754;-1.2014;-1.4458;1.2956;-1.0376;0.0;20.1;13.14;-41.4;354.53;-12.9;23.25;0.0;997.23;55.199;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;35044;2020-11-11 01:31:48:113
-5.9855;-0.2472;8.6592;-5.6961;0.2907;7.9775;-0.2894;-0.5379;0.6818;1.0855;-1.1593;0.5577;0.0;20.1;13.26;-41.34;27.78;-1.7;35.53;0.0;998.0;46.695;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;35544;2020-11-11 01:31:48:613
-6.2848;-0.5824;7.9912;-5.6441;-0.2375;8.0161;-0.6406;-0.3449;-0.0248;-1.4168;0.9758;-1.4232;0.0;20.34;12.84;-41.52;33.36;1.39;35.15;0.0;997.22;53.259;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;36044;2020-11-11 01:31:49:113
-5.6719;0.495;8.9657;-5.0848;0.8172;8.3455;-0.5871;-0.3222;0.6202;1.1529;-1.7292;0.7113;0.0;21.66;14.88;-40.5;6.17;-4.78;31.35;0.0;997.67;42.286;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;36545;2020-11-11 01:31:49:614
-7.6902;-2.2559;10.2155;-5.7335;-0.8873;7.9063;-2.1194;-0.8227;0.899;-0.1001;-0.2455;-0.4487;0.0;21.42;15.36;-40.5;30.76;5.19;35.95;0.0;997.38;51.752;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;37045;2020-11-11 01:31:50:114
0.5315;3.0903;4.7399;-3.23;2.8552;8.8083;3.7615;0.2351;-4.0683;0.8503;-0.6908;0.274;0.0;21.42;15.72;-40.26;359.84;-6.67;27.62;0.0;998.44;44.984;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;37544;2020-11-11 01:31:50:613
-8.9256;-2.3397;9.5834;-6.211;-1.9091;7.345;-2.7146;-0.4306;2.2384;0.4972;0.1334;0.3507;0.0;21.84;15.9;-40.08;41.66;9.45;38.22;0.0;997.32;49.115;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;38044;2020-11-11 01:31:51:113
-1.8962;3.7152;7.5794;-3.2461;2.7958;8.8214;1.3498;0.9194;-1.2419;-0.1899;0.4293;-0.4386;0.0;21.6;15.54;-40.26;346.38;-16.56;20.2;0.0;998.22;49.464;44.235317;-76.49357;199.68;NaN;;;39.809677;;0 / 19;38544;2020-11-11 01:31:51:613
